epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.18485,1.20122,0.56,1,1.47035,2.222e-05,2.222e-05,2.222e-05
2,6.4172,1.20861,0.56,1,1.42129,5.37169e-05,5.37169e-05,5.37169e-05
3,9.22013,1.09472,0.68,1,1.31278,8.30139e-05,8.30139e-05,8.30139e-05
4,12.0057,1.0516,0.92,1,1.10103,0.000110111,0.000110111,0.000110111
5,14.8722,0.98616,1,1,1.02382,0.000135009,0.000135009,0.000135009
6,17.7692,0.91408,1,1,0.78193,0.000157706,0.000157706,0.000157706
7,20.6163,0.7772,1,1,0.66042,0.000178204,0.000178204,0.000178204
8,23.3843,0.67837,1,1,0.57076,0.000196503,0.000196503,0.000196503
9,26.2304,0.58111,1,1,0.46363,0.000212601,0.000212601,0.000212601
10,29.1638,0.50686,1,1,0.37497,0.0002265,0.0002265,0.0002265
11,32.0353,0.51192,1,1,0.27778,0.000238198,0.000238198,0.000238198
12,34.8812,0.46491,1,1,0.23356,0.000247697,0.000247697,0.000247697
13,37.6669,0.4593,1,1,0.1843,0.000254997,0.000254997,0.000254997
14,40.5183,0.58742,1,1,0.19989,0.000260096,0.000260096,0.000260096
15,43.3407,0.35699,1,1,0.19212,0.000262996,0.000262996,0.000262996
16,46.229,0.39391,1,1,0.14411,0.000263696,0.000263696,0.000263696
17,49.0762,0.19381,1,1,0.12404,0.000262196,0.000262196,0.000262196
18,51.8926,0.22088,1,1,0.14076,0.000258496,0.000258496,0.000258496
19,54.7743,0.20948,1,1,0.07466,0.000252597,0.000252597,0.000252597
20,57.6152,0.2583,1,1,0.04337,0.000244498,0.000244498,0.000244498
21,60.53,0.21647,1,1,0.04265,0.000234199,0.000234199,0.000234199
22,63.4436,0.29724,1,1,0.03045,0.0002217,0.0002217,0.0002217
23,66.2462,0.26652,1,1,0.02939,0.000207002,0.000207002,0.000207002
24,69.0299,0.20767,1,1,0.02325,0.000190103,0.000190103,0.000190103
25,71.8867,0.38506,1,1,0.02553,0.000171005,0.000171005,0.000171005
26,74.7645,0.13298,1,1,0.02352,0.000149707,0.000149707,0.000149707
27,77.6474,0.20922,1,1,0.02154,0.00012621,0.00012621,0.00012621
28,80.4756,0.1782,1,1,0.02333,0.000100512,0.000100512,0.000100512
29,83.3717,0.21429,1,1,0.02545,7.2615e-05,7.2615e-05,7.2615e-05
30,86.463,0.19175,1,1,0.02537,4.2518e-05,4.2518e-05,4.2518e-05
