epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.17022,1.70609,0.08333,1,1.66242,1.111e-05,1.111e-05,1.111e-05
2,4.1204,1.73553,0,1,1.64748,3.16802e-05,3.16802e-05,3.16802e-05
3,5.98068,1.67674,0,1,1.63901,5.00506e-05,5.00506e-05,5.00506e-05
4,7.90259,1.64679,0,1,1.63646,6.62212e-05,6.62212e-05,6.62212e-05
5,9.41486,1.5672,0,1,1.62771,8.0192e-05,8.0192e-05,8.0192e-05
6,10.9326,1.5655,0.33333,1,1.62299,9.1963e-05,9.1963e-05,9.1963e-05
7,12.4218,1.49985,0.5,1,1.61533,0.000101534,0.000101534,0.000101534
8,14.0347,1.50929,0.5,1,1.60244,0.000108906,0.000108906,0.000108906
9,15.5193,1.47646,0.5,1,1.58265,0.000114077,0.000114077,0.000114077
10,16.9995,1.36943,0.5,1,1.53697,0.000117049,0.000117049,0.000117049
11,18.5442,1.3419,0.5,1,1.46477,0.000117822,0.000117822,0.000117822
12,20.0302,1.29228,0.5,1,1.46477,0.000116394,0.000116394,0.000116394
13,21.4771,1.16477,0.66667,1,1.37177,0.000112767,0.000112767,0.000112767
14,23.0541,1.25303,0.91667,1,1.26,0.000106939,0.000106939,0.000106939
15,24.6925,1.0881,0.91667,1,1.26,9.89123e-05,9.89123e-05,9.89123e-05
16,26.4255,1.14096,0.91667,1,1.15145,8.86856e-05,8.86856e-05,8.86856e-05
17,28.4998,1.17526,0.91667,1,1.05214,7.6259e-05,7.6259e-05,7.6259e-05
18,30.31,1.14162,0.91667,1,1.05214,6.16327e-05,6.16327e-05,6.16327e-05
19,31.8785,1.07397,0.91667,1,0.96616,4.48066e-05,4.48066e-05,4.48066e-05
20,33.3903,1.23317,0.91667,1,0.96616,2.57808e-05,2.57808e-05,2.57808e-05
