epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.40453,1.72322,0.125,1,1.64522,1.111e-05,1.111e-05,1.111e-05
2,4.68347,1.68751,0,1,1.63869,3.16802e-05,3.16802e-05,3.16802e-05
3,6.70467,1.65575,0,1,1.63713,5.00506e-05,5.00506e-05,5.00506e-05
4,8.71571,1.60627,0,1,1.63379,6.62212e-05,6.62212e-05,6.62212e-05
5,10.6967,1.52696,0,1,1.63446,8.0192e-05,8.0192e-05,8.0192e-05
6,12.8074,1.54126,0.25,1,1.62997,9.1963e-05,9.1963e-05,9.1963e-05
7,14.873,1.43886,0.4375,1,1.61878,0.000101534,0.000101534,0.000101534
8,16.9079,1.40214,0.4375,1,1.59812,0.000108906,0.000108906,0.000108906
9,18.928,1.32505,0.4375,1,1.5604,0.000114077,0.000114077,0.000114077
10,20.9425,1.26155,0.4375,1,1.50928,0.000117049,0.000117049,0.000117049
11,23.0095,1.21633,0.5625,1,1.43121,0.000117822,0.000117822,0.000117822
12,24.9894,1.15385,0.5625,1,1.43121,0.000116394,0.000116394,0.000116394
13,27.0433,1.19974,0.875,1,1.31881,0.000112767,0.000112767,0.000112767
14,29.0874,1.16355,0.875,1,1.17167,0.000106939,0.000106939,0.000106939
15,31.0675,1.05827,0.875,1,1.17167,9.89123e-05,9.89123e-05,9.89123e-05
16,33.1873,1.20922,0.875,1,1.06907,8.86856e-05,8.86856e-05,8.86856e-05
17,35.1993,1.07304,0.9375,1,0.94902,7.6259e-05,7.6259e-05,7.6259e-05
18,37.3266,0.98883,0.9375,1,0.94902,6.16327e-05,6.16327e-05,6.16327e-05
19,39.3845,0.94291,1,1,0.8731,4.48066e-05,4.48066e-05,4.48066e-05
20,41.3389,1.01328,1,1,0.8731,2.57808e-05,2.57808e-05,2.57808e-05
