epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.771427,1.78437,0,1,2.1348,0,0,0
2,2.09029,1.77104,0,1,2.08393,1.089e-05,1.089e-05,1.089e-05
3,2.87664,1.77215,0,1,2.02103,2.13401e-05,2.13401e-05,2.13401e-05
4,3.64967,1.72495,0,1,1.94543,3.13502e-05,3.13502e-05,3.13502e-05
5,4.44298,1.72323,0,1,1.86793,4.09204e-05,4.09204e-05,4.09204e-05
6,5.27733,1.65421,0,1,1.78421,5.00506e-05,5.00506e-05,5.00506e-05
7,6.05148,1.64665,0,1,1.67445,5.87408e-05,5.87408e-05,5.87408e-05
8,6.89056,1.56121,0,1,1.57005,6.69911e-05,6.69911e-05,6.69911e-05
9,7.69666,1.57115,0,1,1.57005,7.48014e-05,7.48014e-05,7.48014e-05
10,8.61155,1.43798,0.85714,1,1.42948,8.21718e-05,8.21718e-05,8.21718e-05
11,9.43856,1.41046,0.85714,1,1.42948,8.91022e-05,8.91022e-05,8.91022e-05
12,10.3091,1.38631,0.85714,1,1.27135,9.55927e-05,9.55927e-05,9.55927e-05
13,11.1121,1.22011,0.85714,1,1.27135,0.000101643,0.000101643,0.000101643
14,11.9457,1.26484,0.85714,1,1.1147,0.000107254,0.000107254,0.000107254
15,12.7485,1.06292,0.85714,1,1.1147,0.000112424,0.000112424,0.000112424
16,13.5723,1.22495,1,1,0.9718,0.000117155,0.000117155,0.000117155
17,14.4717,0.97782,1,1,0.9718,0.000121446,0.000121446,0.000121446
18,15.3162,1.04335,1,1,0.81802,0.000125296,0.000125296,0.000125296
19,16.1016,0.94434,1,1,0.81802,0.000128707,0.000128707,0.000128707
20,16.8824,0.90673,1,1,0.66626,0.000131678,0.000131678,0.000131678
21,17.6532,0.79378,1,1,0.66626,0.000134209,0.000134209,0.000134209
22,18.4439,0.80942,1,1,0.54631,0.0001363,0.0001363,0.0001363
23,19.2224,0.67731,1,1,0.54631,0.000137951,0.000137951,0.000137951
24,20.0339,0.67975,1,1,0.54631,0.000139162,0.000139162,0.000139162
25,20.8371,0.68573,1,1,0.43107,0.000139933,0.000139933,0.000139933
26,21.6111,0.56487,1,1,0.43107,0.000140264,0.000140264,0.000140264
27,22.3731,0.55093,1,1,0.43107,0.000140155,0.000140155,0.000140155
28,23.1619,0.6237,1,1,0.3561,0.000139606,0.000139606,0.000139606
29,23.946,0.61787,1,1,0.3561,0.000138617,0.000138617,0.000138617
30,24.7156,0.49572,1,1,0.3561,0.000137189,0.000137189,0.000137189
31,25.4941,0.49381,1,1,0.29234,0.00013532,0.00013532,0.00013532
32,26.2997,0.42872,1,1,0.29234,0.000133011,0.000133011,0.000133011
33,27.1064,0.36605,1,1,0.29234,0.000130263,0.000130263,0.000130263
34,27.8923,0.44664,1,1,0.24245,0.000127074,0.000127074,0.000127074
35,28.6508,0.36515,1,1,0.24245,0.000123445,0.000123445,0.000123445
36,29.4171,0.4177,1,1,0.24245,0.000119377,0.000119377,0.000119377
37,30.1733,0.36198,1,1,0.24245,0.000114869,0.000114869,0.000114869
38,30.974,0.44339,1,1,0.21046,0.00010992,0.00010992,0.00010992
39,31.7422,0.2791,1,1,0.21046,0.000104532,0.000104532,0.000104532
40,32.5241,0.40748,1,1,0.21046,9.87035e-05,9.87035e-05,9.87035e-05
41,33.3303,0.33289,1,1,0.21046,9.24352e-05,9.24352e-05,9.24352e-05
42,34.116,0.38262,1,1,0.18179,8.5727e-05,8.5727e-05,8.5727e-05
43,34.9246,0.3354,1,1,0.18179,7.85788e-05,7.85788e-05,7.85788e-05
44,35.6969,0.31971,1,1,0.18179,7.09907e-05,7.09907e-05,7.09907e-05
45,36.4741,0.30877,1,1,0.18179,6.29626e-05,6.29626e-05,6.29626e-05
46,37.6586,0.29054,1,1,0.17156,5.44945e-05,5.44945e-05,5.44945e-05
47,38.4288,0.27105,1,1,0.17156,4.55866e-05,4.55866e-05,4.55866e-05
48,39.1882,0.25979,1,1,0.17156,3.62386e-05,3.62386e-05,3.62386e-05
49,39.9846,0.30154,1,1,0.17156,2.64507e-05,2.64507e-05,2.64507e-05
50,40.7825,0.31411,1,1,0.16786,1.62228e-05,1.62228e-05,1.62228e-05
